Source,Target,airline,country,airline_name
PNS,TPA,3M,United States,Silver Airways (3M)
RSW,EYW,3M,United States,Silver Airways (3M)
RSW,MCO,3M,United States,Silver Airways (3M)
TCB,FLL,3M,United States,Silver Airways (3M)
TLH,MCO,3M,United States,Silver Airways (3M)
TLH,TPA,3M,United States,Silver Airways (3M)
TPA,EYW,3M,United States,Silver Airways (3M)
TPA,FLL,3M,United States,Silver Airways (3M)
TPA,GNV,3M,United States,Silver Airways (3M)
TPA,JAX,3M,United States,Silver Airways (3M)
TPA,PBI,3M,United States,Silver Airways (3M)
TPA,PNS,3M,United States,Silver Airways (3M)
TPA,TLH,3M,United States,Silver Airways (3M)
TUP,ATL,3M,United States,Silver Airways (3M)
TUP,GLH,3M,United States,Silver Airways (3M)
AMS,NDR,3O,Morocco,Air Arabia Maroc
AMS,TNG,3O,Morocco,Air Arabia Maroc
BCN,CMN,3O,Morocco,Air Arabia Maroc
BCN,NDR,3O,Morocco,Air Arabia Maroc
BCN,TNG,3O,Morocco,Air Arabia Maroc
BGY,CMN,3O,Morocco,Air Arabia Maroc
BLQ,CMN,3O,Morocco,Air Arabia Maroc
BRU,CMN,3O,Morocco,Air Arabia Maroc
BRU,NDR,3O,Morocco,Air Arabia Maroc
BRU,TNG,3O,Morocco,Air Arabia Maroc
CGN,NDR,3O,Morocco,Air Arabia Maroc
CMN,BCN,3O,Morocco,Air Arabia Maroc
CMN,BGY,3O,Morocco,Air Arabia Maroc
CMN,BLQ,3O,Morocco,Air Arabia Maroc
CMN,BRU,3O,Morocco,Air Arabia Maroc
CMN,CUF,3O,Morocco,Air Arabia Maroc
CMN,LGW,3O,Morocco,Air Arabia Maroc
CMN,LYS,3O,Morocco,Air Arabia Maroc
CMN,MPL,3O,Morocco,Air Arabia Maroc
CMN,SAW,3O,Morocco,Air Arabia Maroc
CMN,TLS,3O,Morocco,Air Arabia Maroc
CMN,TSF,3O,Morocco,Air Arabia Maroc
CUF,CMN,3O,Morocco,Air Arabia Maroc
FEZ,MPL,3O,Morocco,Air Arabia Maroc
LGW,CMN,3O,Morocco,Air Arabia Maroc
LGW,TNG,3O,Morocco,Air Arabia Maroc
LYS,CMN,3O,Morocco,Air Arabia Maroc
MPL,CMN,3O,Morocco,Air Arabia Maroc
MPL,FEZ,3O,Morocco,Air Arabia Maroc
MPL,NDR,3O,Morocco,Air Arabia Maroc
NDR,AMS,3O,Morocco,Air Arabia Maroc
NDR,BCN,3O,Morocco,Air Arabia Maroc
NDR,BRU,3O,Morocco,Air Arabia Maroc
NDR,CGN,3O,Morocco,Air Arabia Maroc
NDR,MPL,3O,Morocco,Air Arabia Maroc
NDR,PMI,3O,Morocco,Air Arabia Maroc
PMI,NDR,3O,Morocco,Air Arabia Maroc
SAW,CMN,3O,Morocco,Air Arabia Maroc
TLS,CMN,3O,Morocco,Air Arabia Maroc
TNG,AMS,3O,Morocco,Air Arabia Maroc
TNG,BCN,3O,Morocco,Air Arabia Maroc
TNG,BRU,3O,Morocco,Air Arabia Maroc
TNG,LGW,3O,Morocco,Air Arabia Maroc
TSF,CMN,3O,Morocco,Air Arabia Maroc
AUA,LSP,3P,Aruba,Tiara Air
AUA,MAR,3P,Aruba,Tiara Air
